styrk98_7digit,styrk08_4digit
1224139,1411
1224140,1412
1225101,1324
1225102,1324
1225103,1324
1225104,1324
1225105,1349
1225106,1324
1225107,1324
1225108,1324
1225109,1324
1225110,1324
1225111,1324
1225112,1324
1225113,1324
1225114,1324
1225115,1324
1225116,1324
1225117,1324
1225118,1324
1225119,1324
1225120,1324
1225121,1324
1225122,1324
1225123,1324
1225124,1324
1225125,1324
1225126,1324
1225127,1324
1225128,1324
1225129,1324
1225130,1324
1225131,1324
1225132,1324
1225133,1324
1225134,1324
1225135,1324
1225136,1324
1225137,1324
1225138,1324
1225139,1324
1225140,1324
1225141,1324
1225142,1324
1225143,1324
1225144,1324
1225145,1324
1225146,1324
1225147,1324
1225148,1324
1225150,1324
1225151,1324
1225152,1219
1225153,1324
1225154,1324
1225155,1324
1225156,1324
1225157,1324
1225158,1324
1225159,1324
1225160,1324
1226101,1346
1226102,1324
1226103,1346
1226104,1346
1226105,1346
1226106,1346
1226107,1346
1226108,1346
1226110,1346
1226111,1346
1226112,1211
1226113,1219
1226114,1219
1226115,1346
1226116,1346
1226117,1346
1226118,1346
1226119,1211
1226120,1346
1226121,1346
1226122,1219
1226123,1346
1226124,1346
1226125,1346
1226126,1346
1226127,1346
1226128,1346
1226129,1346
1226130,1346
1226131,1346
1226132,1346
1226133,2112
1226134,2112
1226135,1349
1226136,1223
1226137,1219
1226138,1223
1226139,1349
1226140,1330
1226141,1346
1226142,1219
1226143,1346
1226144,1219
1226145,1219
1226146,1219
1226147,1219
1226148,1219
1226149,1219
1226150,1219
1226151,1346
1226152,1346
1226153,1346
1226154,1346
1226155,1219
1227101,1219
1227102,1349
1227103,1219
1227104,1349
1227105,1349
1227107,1219
1227108,1349
1227109,1349
1227110,1349
1227111,1345
1227112,1345
1227114,1344
1227115,1342
1227116,1311
1227118,1345
1227120,1349
1227121,1349
1227122,1431
1227123,1311
1227124,1342
1227125,1342
1227126,1349
1227127,1311
1227128,1345
1227129,1342
1227130,1342
1227131,1324
1227132,1311
1227134,1213
1227135,1120
1227136,1213
1227137,1324
1227138,1431
1227139,1431
1227140,1431
1227141,1324
1227142,1311
1227144,1349
1227145,1349
1227146,1349
1227147,1342
1227148,1342
1227149,1349
1227150,1349
1227151,1349
1227152,1341
1227153,1219
1227154,1213
1227155,1219
1227156,1349
1227157,1349
1227158,1213
1227159,1349
1227160,1349
1227161,1311
1227163,1213
1227164,1349
1227166,1342
1227167,1431
1227168,1219
1227169,1219
1227170,1211
1227171,1341
1227172,1349
1227173,1349
1227174,1349
1227175,1311
1227176,1342
1227177,1311
1227178,1311
1227179,1342
1227180,1311
1227181,1345
1227182,1219
1227183,1213
1227184,1213
1227185,1213
1227186,1349
1227187,1219
1227188,1219
1227189,3355
1227190,1219
1227191,1431
1227192,1349
1227193,1349
1227194,1312
1227195,1342
1227196,1341
1227197,1312
1227198,1349
1227199,1349
1227200,1323
1227201,1349
1227202,1349
1227203,1323
1227204,1349
1227205,1349
1227206,1219
1227207,1342
1227208,1342
1227209,1349
1227210,1324
1227212,1219
1227213,1323
1227214,1323
1227215,1219
1227216,1431
1227217,1349
1227218,1213
1227219,1349
1227220,1431
1227221,1219
1227222,1349
1227223,1311
1227224,1349
1227226,1219
1227227,1219
1227228,1219
1227229,1323
1227230,1342
1227231,1345
1227233,1312
1227235,1349
1227236,1346
1227239,1211
1227240,1211
1227241,1311
1227243,1349
1227244,1219
1227245,1219
1227246,1219
1227247,1112
1227248,1219
1227249,1349
1227250,1349
1227251,1342
1227252,2611
1227253,1219
1227255,1346
1227256,1349
1227257,1349
1227258,1346
1227259,1349
1227260,1349
1227261,1349
1227262,1349
1227263,1349
1227264,1349
1227265,1349
1227266,1349
1227267,1343
1227268,1219
1227269,1349
1227270,1219
1227271,1111
1227272,1346
1227273,1342
1227274,1341
1227275,1342
1227276,1342
1227277,1342
1227278,1343
1227279,1343
1227280,1343
1227281,1344
1227282,1344
1227283,1344
1227284,1344
1227285,1344
1227286,1345
1227287,1345
1227288,1345
1227289,1219
1227290,1349
1227291,1112
1227292,1213
1227293,1349
1227294,1349
1227295,1219
1227296,1213
1227297,1213
