code,name,population
32,Akershus,749207
03,Oslo,728714
46,Vestland,658342
11,Rogaland,508922
50,Trøndelag,489166
34,Innlandet,379488
42,Agder,323930
31,Østfold,316448
15,Møre og Romsdal,273169
33,Buskerud,272981
39,Vestfold,259332
18,Nordland,243272
40,Telemark,177923
55,Troms,171218
56,Finnmark,75288
