age_lower,age_upper,population_share
0,4,0.04905
5,9,0.05237
10,14,0.05736
15,19,0.06133
20,24,0.05956
25,29,0.06528
30,34,0.06983
35,39,0.07086
40,44,0.06596
45,49,0.06326
50,54,0.06667
55,59,0.06646
60,64,0.05954
65,69,0.05332
70,74,0.04676
75,79,0.04174
80,84,0.02784
85,89,0.01470
90,94,0.00617
95,99,0.00169
100,105,0.00025
