year,group,share_pct,mean_nok,lower_nok
2024,D1,-2.7,-1031500,
2024,D2,-0.1,-42900,-192800
2024,D3,0.4,159700,20800
2024,D4,1.9,748600,390300
2024,D5,4.0,1538100,1131000
2024,D6,6.2,2406400,1955700
2024,D7,8.8,3415800,2880100
2024,D8,12.1,4715300,3996700
2024,D9,17.4,6787800,5543100
2024,D10,51.9,20211300,8454200
2024,Top5,39.1,30419900,12140200
2024,Top1,21.7,84551200,28250400
2024,Top0_1,10.3,402084700,133425400
