code,label,share
AP,Arbeiderpartiet,0.218
H,Høyre,0.262
FRP,Fremskrittspartiet,0.218
SV,Sosialistisk Venstreparti,0.060
SP,Senterpartiet,0.055
V,Venstre,0.040
KRF,Kristelig Folkeparti,0.030
R,Rødt,0.055
MDG,Miljøpartiet De Grønne,0.030
ANDRE,Andre småpartier,0.032
